Voucher_Number,Date,Amount,Major_Head,Head,Sub_Head,Payment_Type,Session,Details
230217,11/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230216,11/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230215,11/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230214,11/12/2024,4700,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230213,11/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230212,11/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
149,10/12/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ayush Choudhary
148,09/12/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yash Choudhary
230211,07/12/2024,400,Bus Fees,Bus Fees,Student,Cash,2023-2024,Data  Migration
230210,07/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230209,07/12/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
147,07/12/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ganesh Devashi
146,07/12/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nitu Yadav
145,07/12/2024,6000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jatin Dabhaniya
230321,05/12/2024,2600,Bus Booking,Bus Booking,Bus Booking,Cash,2023-2024,Data  Migration
144,05/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Rajpal Choudhary
230208,04/12/2024,9000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
143,03/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Surendra Devashi
142,03/12/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Chouhdary
141,03/12/2024,10000,Bus Fees,Fees,Bus Fee,Cash,2024-2025,Kabir Sepat
230207,02/12/2024,15000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
140,02/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Himanshu Choudhary
139,02/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Karthik Jakhar
138,02/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mehul Kumawat
137,02/12/2024,14000,Fees,Fees,Tuition Fee,Cash,2024-2025,Kavya Choudhary
136,01/12/2024,9000,Fees,Fees,Tuition Fee,Cash,2024-2025,Tina Piploda
135,01/12/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Siren Khikhar
230206,30/11/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230205,30/11/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230204,30/11/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230203,30/11/2024,19500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
134,30/11/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Bittu Yadav
133,28/11/2024,4500,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishanth Aechara
230202,27/11/2024,4500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230201,27/11/2024,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
132,27/11/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harsh Vardhan Singh
131,26/11/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jasmine Choudhary
130,25/11/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Nathawat
230200,23/11/2024,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
129,23/11/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vaidik Sharma
230199,22/11/2024,1000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230198,22/11/2024,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
128,21/11/2024,3500,Fees,Fees,Tuition Fee,Cash,2024-2025,Akshita Reibari
127,19/11/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Devashi
126,08/11/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ritu Yadav
125,08/11/2024,12000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ishita Choudhary
124,05/11/2024,10500,Fees,Fees,Tuition Fee,Cash,2024-2025,Devish Takar
187,01/11/2024,197000,RTE,Fees,RTE,Cash,2024-2025,RTE
123,30/10/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harshit Choudhary
122,29/10/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harshvardhan Singh
120,29/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Shivam Dhayal
119,29/10/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Pinjal Kumawat
118,28/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anushka Choudhary
117,28/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Yadav
116,28/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Animesh Sharma
115,28/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harish Naga
114,28/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Amit Dhayal
113,28/10/2024,6000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
121,26/10/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Morrish Bugaliya
112,26/10/2024,31000,Fees,Fees,Tuition Fee,Cash,2024-2025,Pooja Takar
111,26/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit Jajoria
110,25/10/2024,35000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jasmeen Bano
109,22/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Choudhary
108,21/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manish Jat
107,21/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ganesh Devashi
106,21/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Lucky Choudhary
105,20/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ashok Choudhary
104,20/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Neetu Yadav
103,19/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mahendra Choudhary
102,17/10/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ansuman Kumawat
101,17/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Shiristi Rebari
100,16/10/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nirmal Devashi
99,15/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anjali Choudhary
98,14/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harshita Choudhary
97,14/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Choudhary
96,13/10/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jitendra Choudhary
95,08/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anushka Choudhary
94,08/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Surender Devashi
93,05/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jatin D
92,01/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Verma
91,30/09/2024,18600,Fees,Fees,Tuition Fee,Cash,2024-2025,Amit Golya
90,24/09/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aman Yadav
89,24/09/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Yadav
88,19/09/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Viyan Jajoria
87,19/09/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vaidik Sharma
86,19/09/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Suresh Devashi
85,17/09/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishant Achra
84,17/09/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Lucky Choudhary
83,15/09/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Krishan Sharma
82,11/09/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nitu Yadav
81,10/09/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yash Choudhary
80,10/09/2024,2500,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Choudhary
79,07/09/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anjali Choudhary
78,05/09/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Animesh Sharma
77,03/09/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit ?
76,01/09/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Khokhar
75,24/08/2024,28000,Fees,Fees,Tuition Fee,Cash,2024-2025,Amit Jakhar
74,24/08/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ayush Choudhary
73,24/08/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sumit Dhayal
72,23/08/2024,12000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anushka Choudhary
71,23/08/2024,14000,Fees,Fees,Tuition Fee,Cash,2024-2025,Rahul Khokar
70,23/08/2024,27000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Choudhary
69,22/08/2024,43000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ankit Chopra
68,22/08/2024,45000,Fees,Fees,Tuition Fee,Cash,2024-2025,Navya
67,22/08/2024,15000,Fees,Fees,Tuition Fee,Cash,2024-2025,Hitisha Jakhar
66,21/08/2024,20000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anil Devashi
65,20/08/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nirmal Devashi
185,18/08/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary new receipt
64,18/08/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jitendra Choudhary
63,18/08/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
62,07/08/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anushka Choudhary
61,07/08/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Choudhary
60,07/08/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Punit Khowal
59,03/08/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ravikant Chandiwal
58,31/07/2024,24800,Fees,Fees,Tuition Fee,Cash,2024-2025,Kamlesh Natwariya
57,29/07/2024,11000,Fees,Fees,Tuition Fee,Cash,2024-2025,Arpit Choudhary
56,27/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mahendra Choudhary
55,27/07/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Priyanshu Yadav
54,27/07/2024,3400,Fees,Fees,Tuition Fee,Cash,2024-2025,Vikram  Raibari
53,26/07/2024,14500,Fees,Fees,Tuition Fee,Cash,2024-2025,Yashawant Kumawat
52,24/07/2024,9000,Fees,Fees,Tuition Fee,Cash,2024-2025,M Bugaliya
51,20/07/2024,2500,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Choudhary
50,19/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Garima Choudhary
49,19/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Verma
48,18/07/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Lakshita Kumawat
47,18/07/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
46,15/07/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Nathawat
45,15/07/2024,2400,Fees,Fees,Tuition Fee,Cash,2024-2025,Harsh Verdhan
44,15/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mahendra Choudhary
43,15/07/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Divyanshi Choudhary
42,15/07/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Kanishka Choudhary
41,15/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepika Gurjer
40,15/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Rajpal Devashi
39,15/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ganesh Devashi
38,12/07/2024,1500,Fees,Fees,Tuition Fee,Cash,2024-2025,Nayra
37,10/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sahil Gurjer
36,09/07/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Simran Chandiwal
35,08/07/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yashu Choudhary
34,30/06/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Rishu Choudhary
33,30/06/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Yadav
4,28/06/2024,4664,Loan,Other Income,Loan,Credit,2024-2025,Loan Sidharth Sir Newpapaer teacher adv
32,22/06/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishant Achra
31,22/06/2024,1500,Fees,Fees,Tuition Fee,Cash,2024-2025,Nirmal Devashi
30,22/06/2024,7000,Fees,Fees,Tuition Fee,Cash,2024-2025,Akshita Choudhary
3,20/06/2024,25000,Loan,Other Income,Loan,Credit,2024-2025,Loan Sidharth Sir Staff salary
29,19/06/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ravindra Bugaliya
28,15/06/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yogita Khowal
27,05/06/2024,15000,Fees,Fees,Tuition Fee,Cash,2024-2025,Bittu Yadav
26,25/05/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit Choudhary
25,24/05/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Choudhary
24,17/05/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anil Devashi
186,15/05/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Krishan Sharma
1,14/05/2024,3000,Bus Booking,Other Income,Bus Booking,Cash,2024-2025,Bus Booking Raju Yadav Lalpura
23,10/05/2024,13000,Fees,Fees,Tuition Fee,Cash,2024-2025,Priyank Choudhary
2,10/05/2024,5000,Loan,Other Income,Loan,Credit,2024-2025,Loan Kishor Sir Suman Pareekh salary
22,09/05/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Priyanshuli Jangid
21,04/05/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Priyanshu Yadav
20,02/05/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Krishan Sharma
19,30/04/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vaidik Sharma
18,28/04/2024,3500,Fees,Fees,Tuition Fee,Cash,2024-2025,Akshat Sharma
17,27/04/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yuganter Choudhary
16,27/04/2024,6000,Fees,Fees,Tuition Fee,Cash,2024-2025,Khushi Yadav
15,27/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vikram
14,25/04/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sumit Dhayal
13,23/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishant Achra
12,23/04/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
11,23/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Karthik
10,23/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manish Jangu
9,23/04/2024,1500,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Nathawat
8,23/04/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yash Choudhary
7,23/04/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vaidik Sharma
6,23/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit Jajoria
5,23/04/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Animesh Sharma
4,23/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anshuman Kumawat
3,18/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Tina Piploda
2,13/04/2024,7000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Yadav
1,04/04/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Simran Chandiwal
230309,28/03/2024,3500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230308,28/03/2024,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230307,22/03/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230306,21/03/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230305,21/03/2024,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230304,20/03/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230303,19/03/2024,9500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230302,16/03/2024,40000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230301,16/03/2024,35000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230300,16/03/2024,15000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230299,16/03/2024,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230298,16/03/2024,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230297,16/03/2024,8000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230296,16/03/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230295,16/03/2024,8000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230294,13/03/2024,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230293,13/03/2024,1000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230324,12/03/2024,1800,Bus Booking,Bus Booking,Bus Booking,Cash,2023-2024,Data  Migration
230292,09/03/2024,3500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230291,09/03/2024,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230290,06/03/2024,1500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230289,06/03/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230288,06/03/2024,5000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230287,06/03/2024,2000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230286,05/03/2024,15000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230285,04/03/2024,10000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230284,04/03/2024,3000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230283,04/03/2024,6000,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230282,04/03/2024,3400,Fees,Fees,Student,Cash,2023-2024,Data  Migration
230281,04/03/2024,2500,Fees,Fees,Student,Cash,2023-2024,Data  Migration
