Voucher_Number,Date,Amount,Major_Head,Head,Sub_Head,Payment_Type,Session,Details
40,08/08/2025,3200,Fees,Tuition Fees,Anvi Sharma,Cash,2025-2026,Tution Fees
41,08/08/2025,3000,Fees,Tuition Fees,Vedik Sharma,Cash,2025-2026,Tution Fees
42,09/08/2025,2000,Fees,Tuition Fees,Amit Golya,Cash,2025-2026,Tution Fees
43,11/08/2025,5000,Fees,Tuition Fees,Jitendra Choudhary,Cash,2025-2026,Tution Fees
44,11/08/2025,10000,Fees,Tuition Fees,Anjali Choudhary,Cash,2025-2026,Tution Fees
45,11/08/2025,5000,Fees,Tuition Fees,Surendra Devashi,Cash,2025-2026,Tution Fees
46,11/08/2025,5000,Fees,Tuition Fees,Priyanshu Yadav,Cash,2025-2026,Tution Fees
47,11/08/2025,10000,Fees,Tuition Fees,Himanshi Choudhary,Cash,2025-2026,Tution Fees
48,12/08/2025,4500,Fees,Tuition Fees,Janvi Mahapuriya,Cash,2025-2026,Tution Fees
49,12/08/2025,2000,Fees,Tuition Fees,Vedik Sharma,Cash,2025-2026,Tution Fees
50,14/08/2025,5000,Fees,Tuition Fees,Animesh Sharma,Cash,2025-2026,Tution Fees
51,16/08/2025,2000,Fees,Tuition Fees,Amit Golya,Cash,2025-2026,Tution Fees
52,18/08/2025,10000,Fees,Tuition Fees,Priyanshi Golya,Cash,2025-2026,Tution Fees
53,20/08/2025,3000,Fees,Tuition Fees,Mohit Singh Jajoria,Cash,2025-2026,Tution Fees
54,21/08/2025,2500,Fees,Tuition Fees,Nishant Aichara,Cash,2025-2026,Tution Fees
55,23/08/2025,3000,Fees,Tuition Fees,Vikram Rebari,Cash,2025-2026,Tution Fees
56,29/08/2025,5000,Fees,Tuition Fees,Devi Rebari,Cash,2025-2026,Tution Fees
57,30/08/2025,10000,Fees,Tuition Fees,Manishi Yadav,Cash,2025-2026,Tution Fees
58,30/08/2025,10000,Fees,Tuition Fees,Mohit Choudhary,Cash,2025-2026,Tution Fees
59,30/08/2025,23000,Fees,Tuition Fees,Ashok Choudhary,Cash,2025-2026,Tution Fees
60,01/09/2025,16000,Fees,Tuition Fees,Jitendra Choudhary,Cash,2025-2026,Tution Fees
61,01/09/2025,5000,Fees,Tuition Fees,Krishan Sharma,Cash,2025-2026,Tution Fees
62,01/09/2025,15000,Fees,Tuition Fees,Lucky Choudhary,Cash,2025-2026,Tution Fees
63,01/09/2025,10000,Fees,Tuition Fees,Lucky Choudhary,Cash,2025-2026,Tution Fees
64,02/09/2025,20000,Fees,Tuition Fees,S Jindal,Cash,2025-2026,Tution Fees
65,08/09/2025,5000,Fees,Tuition Fees,Amit Dhayal,Cash,2025-2026,Tution Fees
66,10/09/2025,2000,Fees,Tuition Fees,Aditya Nathawat,Cash,2025-2026,Tution Fees
67,11/09/2025,16000,Fees,Tuition Fees,Payal Verma,Cash,2025-2026,Tution Fees
68,11/09/2025,4000,Fees,Tuition Fees,Yash Choudary,Cash,2025-2026,Tution Fees
69,16/09/2025,10000,Fees,Tuition Fees,Himanshi Choudhary,Cash,2025-2026,Tution Fees
70,17/09/2025,5000,Fees,Tuition Fees,Priya Yadav,Cash,2025-2026,Tution Fees
71,18/09/2025,9000,Fees,Tuition Fees,Pooja Devashi,Cash,2025-2026,Tuition Fee
72,20/09/2025,4000,Fees,Tuition Fees,Nishant Aichara,Cash,2025-2026,Tuition Fee
73,20/09/2025,5000,Fees,Tuition Fees,Amimesh Sharma,Cash,2025-2026,Tuition Fee
74,24/09/2025,3000,Fees,Tuition Fees,Mahendra Aichera,Cash,2025-2026,Tuition Fee
75,25/09/2025,33000,Fees,Tuition Fees,Jaismeen Bana,Cash,2025-2026,Tuition Fee
76,01/10/2025,10000,Fees,Tuition Fees,Kusam Khowal,Cash,2025-2026,Tuition Fee
77,03/10/2025,5000,Fees,Tuition Fees,Ritu Yadav,Cash,2025-2026,Tuition Fee
78,03/10/2025,5000,Fees,Tuition Fees,Surendra Devashi,Cash,2025-2026,Tuition Fee
79,06/10/2025,9000,Fees,Tuition Fees,Amit Dhayal,Cash,2025-2026,Tuition Fee
80,07/10/2025,2000,Fees,Tuition Fees,Vaidik Sharma,Cash,2025-2026,Tuition Fee
81,08/10/2025,8000,Fees,Tuition Fees,Nishant Aichara,Cash,2025-2026,Tuition Fee
82,10/10/2025,2000,Fees,Tuition Fees,Jayesh Khokhar,Cash,2025-2026,Tuition Fee
83,11/10/2025,12500,Fees,Tuition Fees,Gurvita Sharma,Cash,2025-2026,Tuition Fee
84,13/10/2025,5000,Fees,Bus Fees,Garima Sharma,Cash,2025-2026,Bus Fees
85,15/10/2025,10000,Fees,Tuition Fees,Jaya Choudhary,Cash,2025-2026,Tuition Fee
86,17/10/2025,5000,Fees,Tuition Fees,Nirmal Devashi,Cash,2025-2026,Tuition Fee
87,20/10/2025,4000,Fees,Tuition Fees,Amit Khokhar,Cash,2025-2026,Tuition Fee
88,28/10/2025,4000,Fees,Tuition Fees,Priyanshu Yadav,Cash,2025-2026,Tuition Fee
89,28/10/2025,3500,Fees,Bus Fees,name Kumawat,Cash,2025-2026,Bus Fees
90,29/10/2025,13000,Fees,Tuition Fees,Devish Takar,Cash,2025-2026,Tuition Fee
91,29/10/2025,9000,Fees,Tuition Fees,Avni Sharma,Cash,2025-2026,Tuition Fee
92,30/10/2025,7000,Fees,Tuition Fees,Anushka Kumawat,Cash,2025-2026,Tuition Fee
93,30/10/2025,5000,Fees,Tuition Fees,Krish Yadav,Cash,2025-2026,Tuition Fee
94,30/10/2025,3000,Fees,Bus Fees,Kanika sirname,Cash,2025-2026,Bus Fees
95,30/10/2025,13000,Fees,Tuition Fees,Ayush Choudhary,Cash,2025-2026,Tuition Fee
96,30/10/2025,5000,Fees,Tuition Fees,Manshi Jakhar,Cash,2025-2026,Tuition Fee
97,01/11/2025,5000,Fees,Tuition Fees,HarshVardhan Singh,Cash,2025-2026,Tuition Fee
98,01/11/2025,13000,Fees,Tuition Fees,Ravi Rebari,Cash,2025-2026,Tuition Fee
99,03/11/2025,10000,Fees,Tuition Fees,Bittu Yadav,Cash,2025-2026,Tuition Fee
100,04/11/2025,8000,Fees,Tuition Fees,Rajpal Choudhary,Cash,2025-2026,Tuition Fee
101,11/11/2025,10000,Fees,Tuition Fees,Aanshuman Choudhary,Cash,2025-2026,Tuition Fee
102,14/11/2025,5000,Fees,Tuition Fees,Vikram Rebari,Cash,2025-2026,Tuition Fee
103,15/11/2025,2000,Fees,Tuition Fees,Aditya Nathawat,Cash,2025-2026,Tuition Fee
104,17/11/2025,10000,Fees,Tuition Fees,Lucky Choudhary,Cash,2025-2026,Tuition Fee
105,20/11/2025,5000,Fees,Tuition Fees,Mohit Singh Jajoria,Cash,2025-2026,Tuition Fee
106,20/11/2025,4000,Fees,Tuition Fees,Anshuman Kumawat,Cash,2025-2026,Tuition Fee
107,21/11/2025,10000,Fees,Tuition Fees,Manish Yadav,Cash,2025-2026,Tuition Fee
108,24/11/2025,5000,Fees,Tuition Fees,Nikita Devashi,Cash,2025-2026,Tuition Fee
109,25/11/2025,9000,Fees,Tuition Fees,Shivam Archara,Cash,2025-2026,Tuition Fee
110,25/11/2025,25000,Fees,Tuition Fees,Anushka Choudhary,Cash,2025-2026,Tuition Fee
111,26/11/2025,5000,Fees,Tuition Fees,Harshita Choudhary,Cash,2025-2026,Tuition Fee
112,27/11/2025,1000,Fees,Tuition Fees,Sahil Gurjar,Cash,2025-2026,Tuition Fee
113,29/11/2025,3000,Fees,Tuition Fees,Aman Yadav,Cash,2025-2026,Tuition Fee
114,29/11/2025,4000,Fees,Tuition Fees,Lakshita Jajoria,Cash,2025-2026,Tuition Fee
115,29/11/2025,5000,Fees,Tuition Fees,Deepika Gurjar,Cash,2025-2026,Tuition Fee
116,29/11/2025,5000,Fees,Tuition Fees,Kanisk Jakhar,Cash,2025-2026,Tuition Fee
117,29/11/2025,5000,Fees,Tuition Fees,Divyanshi Jakhar,Cash,2025-2026,Tuition Fee
118,10/09/2025,1200,Fees,Tuition Fees,Aman Yadav,Cash,2025-2026,Tuition Fee
119,31/10/2025,4500,Fees,Tuition Fees,Pranjal,Cash,2025-2026,Tuition Fee
120,31/10/2025,12000,Fees,Tuition Fees,Ujjwal sepat,Cash,2025-2026,Tuition Fee
121,31/10/2025,5000,Fees,Tuition Fees,Sahil Gurjar,Cash,2025-2026,Tuition Fee
122,31/10/2025,10000,Fees,Tuition Fees,HarshVardhan Singh,Cash,2025-2026,Tuition Fee
123,31/10/2025,2000,Fees,Tuition Fees,Vedik Sharma,Cash,2025-2026,Tuition Fee
124,31/10/2025,12000,Fees,Tuition Fees,Moris Bugaliya,Cash,2025-2026,Tuition Fee
125,01/12/2025,5000,Fees,Tuition Fees,Surendra Devashi,Cash,2025-2026,Tuition Fee
126,05/12/2025,5000,Fees,Tuition Fees,Manvi Choudhary,Cash,2025-2026,Tuition Fee
127,08/12/2025,5000,Fees,Tuition Fees,Amit Dhayal,Cash,2025-2026,Tuition Fee
128,10/12/2025,5000,Fees,Tuition Fees,Ishita Sepat,Cash,2025-2026,Tuition Fee
129,11/12/2025,9000,Fees,Tuition Fees,Mansingh Devashi,Cash,2025-2026,Tuition Fee
130,11/12/2025,1500,Fees,Tuition Fees,Aditya Nathawat,Cash,2025-2026,Tuition Fee
131,11/12/2025,10000,Fees,Tuition Fees,Manish Jat,Cash,2025-2026,Tuition Fee
132,12/12/2025,10000,Fees,Tuition Fees,Payal Choudhary,Cash,2025-2026,Tuition Fee
133,12/12/2025,10000,Fees,Tuition Fees,Bittu Yadav,Cash,2025-2026,Tuition Fee
134,12/12/2025,30000,Fees,Tuition Fees,Vagnesg Sharma,Cash,2025-2026,Tuition Fee
135,12/12/2025,3000,Fees,Tuition Fees,Vaidik Sharma,Cash,2025-2026,Tuition Fee
136,13/12/2025,5000,Fees,Tuition Fees,Nirmal Devashi,Cash,2025-2026,Tuition Fee
137,16/12/2025,15000,Fees,Tuition Fees,Priyanshu Yadav,Cash,2025-2026,Tuition Fee
138,18/12/2025,400,Fees,Tuition Fees,Rahul Choudhary,Cash,2025-2026,Tuition Fee
139,05/01/2026,10000,Fees,Tuition Fees,Nishant Aichara,Cash,2025-2026,Tuition Fee
140,08/01/2026,10000,Fees,Tuition Fees,Animesh Sharma,Cash,2025-2026,Tuition Fee
141,09/01/2026,2000,Fees,Tuition Fees,Ankul Choudhary,Cash,2025-2026,Tuition Fee
142,09/01/2026,10000,Fees,Tuition Fees,Manish Yadav,Cash,2025-2026,Tuition Fee
143,14/01/2026,5000,Fees,Tuition Fees,Priyanshi Jangid,Cash,2025-2026,Tuition Fee
144,15/01/2026,5000,Fees,Tuition Fees,Mahendra Aichera,Cash,2025-2026,Tuition Fee
145,16/01/2026,1000,Fees,Tuition Fees,Sahil Gurjar,Cash,2025-2026,Tuition Fee
146,16/01/2026,5000,Fees,Tuition Fees,Harshvardhan Singh Shekhawat,Cash,2025-2026,Tuition Fee
147,21/01/2026,3000,Fees,Tuition Fees,Mahendra Aichera,Cash,2025-2026,Tuition Fee
148,21/01/2026,3000,Fees,Tuition Fees,Aman Yadav,Cash,2025-2026,Tuition Fee
149,21/01/2026,10000,Fees,Tuition Fees,Jaya Choudhary,Cash,2025-2026,Tuition Fee
150,27/01/2026,10000,Fees,Tuition Fees,Kusum Khowal,Cash,2025-2026,Tuition Fee
151,28/01/2026,5000,Fees,Tuition Fees,Akshat Choudhary,Cash,2025-2026,Tuition Fee
152,28/01/2026,5000,Fees,Tuition Fees,Surendra Devashi,Cash,2025-2026,Tuition Fee
153,29/01/2026,12000,Fees,Tuition Fees,Jatin Dabariya,Cash,2025-2026,Tuition Fee
154,07/02/2026,3000,Fees,Tuition Fees,Ritu Yadav (IX),Cash,2025-2026,Tuition Fee
155,10/02/2026,4000,Fees,Tuition Fees,Lucky Chaudhary (IX),Cash,2025-2026,Tuition Fee
156,11/02/2026,7000,Fees,Tuition Fees,Ritu Yadav (IX),Cash,2025-2026,Tuition Fee
157,11/02/2026,10000,Fees,Tuition Fees,Kusum Khowal,Cash,2025-2026,Tuition Fee
158,11/02/2026,5000,Fees,Tuition Fees,Apeksha Aechara,Cash,2025-2026,Tuition Fee
159,14/02/2026,2000,Fees,Tuition Fees,Jayesh Khokhar (IX),Cash,2025-2026,Tuition Fee
160,16/02/2026,2000,Fees,Tuition Fees,Vedik Sharma (VIII),Cash,2025-2026,Tuition Fee
161,19/02/2026,2500,Fees,Tuition Fees,Aman Yadav (VIII),Cash,2025-2026,Tuition Fee
162,20/02/2026,5000,Fees,Tuition Fees,Harshvardhan Singh Sekhawat,Cash,2025-2026,Tuition Fee
163,20/02/2026,1500,Fees,Tuition Fees,Atul Chaudhary (XII),Cash,2025-2026,Tuition Fee
164,21/02/2026,3500,Fees,Tuition Fees,Manshi Chaudhary (XI),Cash,2025-2026,Tuition Fee
165,23/02/2026,4000,Fees,Tuition Fees,Ganesh Devasi (VIII),Cash,2025-2026,Tuition Fee
166,24/02/2026,8000,Fees,Tuition Fees,Devansh Kumawat (KG),Cash,2025-2026,Tuition Fee
167,25/02/2026,10000,Fees,Tuition Fees,Lucky Choudhary,Cash,2025-2026,Tuition Fee
168,26/02/2026,5000,Fees,Tuition Fees,Mohit Jajoria,Cash,2025-2026,Tuition Fee
169,27/02/2026,5000,Fees,Tuition Fees,Sidhi Kumawat,Cash,2025-2026,Tuition Fee
170,27/02/2026,20000,Fees,Tuition Fees,Aman Kumawat (Prep),Cash,2025-2026,Tuition Fee
171,28/02/2026,8000,Fees,Tuition Fees,Nidhi Verma,Cash,2025-2026,Tuition Fee
172,28/02/2026,3000,Fees,Tuition Fees,Priyanish Kumawat,Cash,2025-2026,Tuition Fee
173,28/02/2026,4000,Fees,Tuition Fees,Amit Golya,Cash,2025-2026,Tuition Fee
174,28/02/2026,2000,Fees,Tuition Fees,Anjali Choudhary,Cash,2025-2026,Tuition Fee
175,06/02/2026,10000,Fees,Tuition Fees,Priyanshu Yadav,Cash,2025-2026,Tuition Fee
176,02/03/2026,18000,Fees,Tuition Fees,Kavita Raibari,Cash,2025-2026,Tuition Fee
177,03/03/2026,18000,Fees,Tuition Fees,Nikita Devashi,Cash,2025-2026,Tuition Fee
178,05/03/2026,10000,Fees,Tuition Fees,Animesh Sharma,Cash,2025-2026,Tuition Fee
179,07/03/2026,5000,Fees,Tuition Fees,Lucky Choudhary,Cash,2025-2026,Tuition Fee
180,07/03/2026,20000,Fees,Tuition Fees,Pooja Takar,Cash,2025-2026,Tuition Fee
181,09/03/2026,3000,Fees,Tuition Fees,Vaidik Sharma,Cash,2025-2026,Tuition Fee
182,10/03/2026,3000,Fees,Tuition Fees,Vikram Rebari,Cash,2025-2026,Tuition Fee
183,10/03/2026,3000,Fees,Tuition Fees,Jayesh Khokhar,Cash,2025-2026,Tuition Fee
184,10/03/2026,5000,Fees,Tuition Fees,Rajpal Choudhary,Cash,2025-2026,Tuition Fee
185,19/03/2026,10000,Fees,Tuition Fees,Bittu Yadav,Cash,2025-2026,Tuition Fee
186,19/03/2026,5000,Fees,Tuition Fees,Sahil Gurjar,Cash,2025-2026,Tuition Fee
187,21/03/2026,4000,Fees,Tuition Fees,Nirmal Devashi,Cash,2025-2026,Tuition Fee
188,23/03/2026,20000,Fees,Tuition Fees,Amit Khokhar via pump,Cash,2025-2026,Tuition Fee
189,24/03/2026,15000,Fees,Tuition Fees,Priyanshi Yadav,Cash,2025-2026,Tuition Fee
190,25/03/2026,5000,Fees,Tuition Fees,Lakshita Kumawat,Cash,2025-2026,Tuition Fee
191,25/03/2026,12900,Fees,Tuition Fees,Anvi Sharma,Cash,2025-2026,Tuition Fee
192,26/03/2026,8000,Fees,Tuition Fees,Harshvardhan Singh,Cash,2025-2026,Tuition Fee
193,26/03/2026,4400,Fees,Tuition Fees,Sidhi Kumawat,Cash,2025-2026,Tuition Fee
1,16/04/2025,15000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth
2,21/04/2025,10000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth
3,01/05/2025,3600,Bus Booking,Bus Booking,Raju ji jangid Tibariyan,Cash,2025-2026,Bus booking Raju ji jangid Tibariyan
4,03/05/2025,14500,Bus Booking,Bus Booking,Mohan Ji yadav Lalpura,Cash,2025-2026,bus booking Mohan Ji yadav Lalpura
5,06/05/2025,5000,Bus Booking,Bus Booking,babu lal ji taker lalpura,Cash,2025-2026,bus booking babu lal ji taker lalpura
6,09/05/2025,9500,Bus Booking,Bus Booking,Sardar ji gurjar tiba ki dhani,Cash,2025-2026,bus booking Sardar ji gurjar tiba ki dhani
7,10/05/2025,4500,Bus Booking,Bus Booking,Mohan Ji yadav Lalpura,Cash,2025-2026,bus booking Mohan Ji yadav Lalpura
8,12/05/2025,40000,Loan,Management,Kishor Sir,Cash,2025-2026,Loan Kishor Sir salary
9,12/05/2025,25000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidhart Sir salary staff
10,13/05/2025,2500,Bus Booking,Bus Booking,via bhiva ran taker,Cash,2025-2026,bus booking via bhiva ran taker
11,24/05/2025,190000,RTE,Fees,RTE,Cash,2025-2026,"RTE, 192000 was total bill, only 190 k is withdrawn"
12,18/06/2025,10000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth Sir Phumplets
13,30/06/2025,30000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth Sir salary staff
14,30/06/2025,478000,RTE,Fees,RTE,Cash,2025-2026,RTE session 24-25 both instalments
15,30/08/2025,4675,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth Sir paper advert teacher
16,09/09/2025,10000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth Sir
17,29/10/2025,5000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth Sir Deepa Yadav Salary
18,22/11/2025,3600,Bus Booking,Bus Booking,Maliram Ji jakhar,Cash,2025-2026,Bus Booking Maliram Ji jakhar
19,24/11/2025,5000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth Sir
20,29/11/2025,5000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth Sir
21,29/11/2025,10000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth Sir
22,03/12/2025,3100,Bus Booking,Bus Booking,Lala Ram Taker,Cash,2025-2026,Bus Booking Lala Ram Taker
23,05/12/2025,5000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth Sir
24,17/12/2025,5000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sidharth Sir
25,12/01/2026,3000,Loan,Management,Sidharth,Cash,2025-2026,Loand Sidharth Sir
26,20/01/2026,2000,Loan,Management,Sidharth,Cash,2025-2026,Loand Sidharth Sir
27,20/01/2026,500,Loan,Management,Sidharth,Cash,2025-2026,Loand Sidharth Sir
28,29/01/2026,4100,Bus Booking,Bus Booking,Nanna Ram Naga,Cash,2025-2026,Bus Booking Nanna Ram Naga
29,28/01/2026,4600,Bus Booking,Bus Booking,Sita Ram Bajya,Cash,2025-2026,Bus booking Sita Ram Bajya
30,20/02/2026,3500,Bus Booking,Bus Booking,Hanuman Ji,Cash,2025-2026,Bus Booking Hanuman Ji
31,20/02/2026,2000,Bus Booking,Bus Booking,Pathan Ji,Cash,2025-2026,Bus Booking Pathan Ji
31,21/02/2026,3600,Bus Booking,Bus Booking,Bus Booking,Cash,2025-2026,Bus Booking
31,21/02/2026,5000,Bus Booking,Bus Booking,Bus Booking,Cash,2025-2026,Bus Booking
31,10/03/2026,2200,Bus Booking,Bus Booking,Bus Booking,Cash,2025-2026,Bus booking
31,13/03/2026,10000,Loan,Management,Sidharth,Cash,2025-2026,Loan Sid Sir
