Voucher_Number,Date,Amount,Major_Head,Head,Sub_Head,Payment_Type,Session,Details
19,30/04/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vaidik Sharma
20,02/05/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Krishan Sharma
21,04/05/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Priyanshu Yadav
22,09/05/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Priyanshuli Jangid
23,10/05/2024,13000,Fees,Fees,Tuition Fee,Cash,2024-2025,Priyank Choudhary
24,17/05/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anil Devashi
25,24/05/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Choudhary
26,25/05/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit Choudhary
27,05/06/2024,15000,Fees,Fees,Tuition Fee,Cash,2024-2025,Bittu Yadav
28,15/06/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yogita Khowal
29,19/06/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ravindra Bugaliya
30,22/06/2024,7000,Fees,Fees,Tuition Fee,Cash,2024-2025,Akshita Choudhary
31,22/06/2024,1500,Fees,Fees,Tuition Fee,Cash,2024-2025,Nirmal Devashi
32,22/06/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishant Achra
33,30/06/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Yadav
34,30/06/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Rishu Choudhary
35,08/07/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yashu Choudhary
36,09/07/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Simran Chandiwal
37,10/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sahil Gurjer
38,12/07/2024,1500,Fees,Fees,Tuition Fee,Cash,2024-2025,Nayra
39,15/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ganesh Devashi
40,15/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Rajpal Devashi
41,15/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepika Gurjer
42,15/07/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Kanishka Choudhary
43,15/07/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Divyanshi Choudhary
44,15/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mahendra Choudhary
45,15/07/2024,2400,Fees,Fees,Tuition Fee,Cash,2024-2025,Harsh Verdhan
46,15/07/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Nathawat
47,18/07/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
48,18/07/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Lakshita Kumawat
49,19/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Verma
50,19/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Garima Choudhary
51,20/07/2024,2500,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Choudhary
52,24/07/2024,9000,Fees,Fees,Tuition Fee,Cash,2024-2025,M Bugaliya
53,26/07/2024,14500,Fees,Fees,Tuition Fee,Cash,2024-2025,Yashawant Kumawat
54,27/07/2024,3400,Fees,Fees,Tuition Fee,Cash,2024-2025,Vikram  Raibari
55,27/07/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Priyanshu Yadav
56,27/07/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mahendra Choudhary
57,29/07/2024,11000,Fees,Fees,Tuition Fee,Cash,2024-2025,Arpit Choudhary
58,31/07/2024,24800,Fees,Fees,Tuition Fee,Cash,2024-2025,Kamlesh Natwariya
59,03/08/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ravikant Chandiwal
60,07/08/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Punit Khowal
61,07/08/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Choudhary
62,07/08/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anushka Choudhary
63,18/08/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
64,18/08/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jitendra Choudhary
65,20/08/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nirmal Devashi
66,21/08/2024,20000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anil Devashi
67,22/08/2024,15000,Fees,Fees,Tuition Fee,Cash,2024-2025,Hitisha Jakhar
68,22/08/2024,45000,Fees,Fees,Tuition Fee,Cash,2024-2025,Navya
69,22/08/2024,43000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ankit Chopra
70,23/08/2024,27000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Choudhary
71,23/08/2024,14000,Fees,Fees,Tuition Fee,Cash,2024-2025,Rahul Khokar
72,23/08/2024,12000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anushka Choudhary
73,24/08/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sumit Dhayal
74,24/08/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ayush Choudhary
75,24/08/2024,28000,Fees,Fees,Tuition Fee,Cash,2024-2025,Amit Jakhar
76,01/09/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Khokhar
77,03/09/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit ?
78,05/09/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Animesh Sharma
79,07/09/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anjali Choudhary
80,10/09/2024,2500,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Choudhary
81,10/09/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yash Choudhary
82,11/09/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nitu Yadav
83,15/09/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Krishan Sharma
84,17/09/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Lucky Choudhary
85,17/09/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishant Achra
86,19/09/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Suresh Devashi
87,19/09/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vaidik Sharma
88,19/09/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Viyan Jajoria
89,24/09/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Yadav
90,24/09/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aman Yadav
91,30/09/2024,18600,Fees,Fees,Tuition Fee,Cash,2024-2025,Amit Golya
92,01/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Verma
93,05/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jatin D
94,08/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Surender Devashi
95,08/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anushka Choudhary
96,13/10/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jitendra Choudhary
97,14/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Choudhary
98,14/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harshita Choudhary
99,15/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anjali Choudhary
100,16/10/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nirmal Devashi
101,17/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Shiristi Rebari
102,17/10/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ansuman Kumawat
103,19/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mahendra Choudhary
104,20/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Neetu Yadav
105,20/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ashok Choudhary
106,21/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Lucky Choudhary
107,21/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ganesh Devashi
108,21/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manish Jat
109,22/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Choudhary
110,25/10/2024,35000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jasmeen Bano
111,26/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit Jajoria
112,26/10/2024,31000,Fees,Fees,Tuition Fee,Cash,2024-2025,Pooja Takar
113,28/10/2024,6000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
114,28/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Amit Dhayal
115,28/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harish Naga
116,28/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Animesh Sharma
117,28/10/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Yadav
118,28/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anushka Choudhary
119,29/10/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Pinjal Kumawat
120,29/10/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Shivam Dhayal
121,26/10/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Morrish Bugaliya
122,29/10/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harshvardhan Singh
123,30/10/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harshit Choudhary
124,05/11/2024,10500,Fees,Fees,Tuition Fee,Cash,2024-2025,Devish Takar
125,08/11/2024,12000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ishita Choudhary
126,08/11/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ritu Yadav
127,19/11/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Devashi
128,21/11/2024,3500,Fees,Fees,Tuition Fee,Cash,2024-2025,Akshita Reibari
129,23/11/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vaidik Sharma
130,25/11/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Nathawat
131,26/11/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jasmine Choudhary
132,27/11/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harsh Vardhan Singh
133,28/11/2024,4500,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishanth Aechara
134,30/11/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Bittu Yadav
135,01/12/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Siren Khikhar
136,01/12/2024,9000,Fees,Fees,Tuition Fee,Cash,2024-2025,Tina Piploda
137,02/12/2024,14000,Fees,Fees,Tuition Fee,Cash,2024-2025,Kavya Choudhary
138,02/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mehul Kumawat
139,02/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Karthik Jakhar
140,02/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Himanshu Choudhary
141,03/12/2024,10000,Bus Fees,Fees,Bus Fee,Cash,2024-2025,Kabir Sepat
142,03/12/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Chouhdary
143,03/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Surendra Devashi
144,05/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Rajpal Choudhary
145,07/12/2024,6000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jatin Dabhaniya
146,07/12/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nitu Yadav
147,07/12/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ganesh Devashi
148,09/12/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yash Choudhary
149,10/12/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ayush Choudhary
150,13/12/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vitram Devashi
151,14/12/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Himanshu Choudhary
152,14/12/2024,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Animesh Sharma
153,16/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Verma
154,16/12/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Choudhary
155,17/12/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Chouhdary
156,18/12/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ritu Yadav
157,19/12/2024,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nirmal Devashi
158,20/12/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sahil Gurjer
159,20/12/2024,6000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yogita Khowal
160,21/12/2024,22000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vageshree Sharma
161,28/12/2024,2500,Fees,Fees,Tuition Fee,Cash,2024-2025,Jitendra Choudhary
162,18/01/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nitu Yadav
163,18/01/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Krishan Sharma
164,22/01/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sumit Dhayal
165,23/01/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Yadav
166,24/01/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manish Jat
167,01/02/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anjali Choudhary
168,05/02/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Chouhdary
169,06/02/2025,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit Singh Jajoria
170,07/02/2025,15000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harish Naga
171,07/02/2025,30000,Fees,Fees,Tuition Fee,Cash,2024-2025,Surya Jindal
172,07/02/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nikita Devashi
173,07/02/2025,8000,Fees,Fees,Tuition Fee,Cash,2024-2025,Pooja Devashi
174,07/02/2025,8500,Fees,Fees,Tuition Fee,Cash,2024-2025,Shivam Choudhary
175,07/02/2025,25000,Fees,Fees,Tuition Fee,Cash,2024-2025,Shubham Verma
176,07/02/2025,30000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yuganter Choudhary
177,08/02/2025,30000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yogesh Katariya
178,08/02/2025,7000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mahesh Aechra
179,08/02/2025,7000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sarvan Chandiwal
180,08/02/2025,50000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ashmi Jakhar
181,08/02/2025,40000,Fees,Fees,Tuition Fee,Cash,2024-2025,N Lakhara
182,08/02/2025,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Devashi
183,10/02/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vikrma Devashi
184,30/01/2025,18000,Fees,Fees,Tuition Fee,Cash,2024-2025,A nand Bugaliya
185,18/08/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary new receipt
186,15/05/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Krishan Sharma
187,01/11/2024,197000,RTE,Fees,RTE,Cash,2024-2025,RTE
188,28/01/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jatin Dabhaniya
189,29/01/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
190,29/01/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jitendra Choudhary
191,11/02/2025,14000,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditrya
192,12/02/2025,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yash Choudhary
193,13/02/2025,28300,Fees,Fees,Tuition Fee,Cash,2024-2025,Yashmin Choudhary
194,14/02/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Priyanka Jangid
195,15/02/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nirmal Devashi
196,15/02/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishanth Aechara
197,15/02/2025,6000,Fees,Fees,Tuition Fee,Cash,2024-2025,Ritu Yadav
198,21/02/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Lucky Choudhary
199,21/02/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Animesh Sharma
200,01/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Shi* Rebari
201,03/03/2025,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sahil Gurjer
202,04/03/2025,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jatin D
203,08/03/2025,5500,Fees,Fees,Tuition Fee,Cash,2024-2025,Kanika Choudhary
204,10/03/2025,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manshi Choudhary
205,10/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Payal Choudhary
206,12/03/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vaidik Sharma
207,12/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anjali Choudhary
208,12/03/2025,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Kushum Khowal
209,12/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Neetu Choudhary
210,13/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishanth Aechara
211,14/03/2025,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jitendra Choudhary
212,18/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sur* Devashi
213,18/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Bittu Yadav
214,19/03/2025,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit Singh Jajoria
215,19/03/2025,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Harshvardhan Singh
216,19/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manish Jat
217,20/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sumit Dhayal
218,22/03/2025,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
219,25/03/2025,4000,Fees,Fees,Tuition Fee,Cash,2024-2025,Rajveer Jajoria
220,27/03/2025,7000,Fees,Fees,Tuition Fee,Cash,2024-2025,Shidhi Kumawat
